page,content
76,"76 Programm für Deutschland | Finanzen und Steuern
   11.8 Föderalismus und Eigenständigkeit stärken                 wir die staatliche Verschuldung planmäßig verringern, um
                                                                  insbesondere auch höhere Zinsaufwendungen im Falle eines
     Die AfD steht für selbständige und starke Gebietskörper-
                                                                  allgemein steigenden Zinsniveaus bewältigen zu können. Das
   schaften. Wir wollen regionale und lokale Selbstverwaltung
                                                                  derzeit niedrige Zinsniveau gefährdet die Alterssicherung
   ermöglichen und Subsidiarität garantieren, damit regio-
                                                                  weiter Teile der Bevölkerung und kann deshalb nicht auf
   nale Eigen- und Besonderheiten gepflegt werden können.
                                                                  Dauer aufrechterhalten werden.
   Deutschland ist stets, anders als Frankreich, ein föderaler
   Staat gewesen. Wir wollen dem Föderalismus wieder mehr
                                                                  11.10 Bargeldnutzung muss
   Gewicht verleihen.
                                                                  uneingeschränkt erhalten bleiben
     Der Länderfinanzausgleich muss so überarbeitet werden,         Bargeldnutzung ist ein bürgerliches Freiheitsrecht. Wir
   dass die Nehmerländer nach Gewährung von Ausgleichs-           treten dafür ein, das Bargeld uneingeschränkt als gesetzli-
   leistungen nicht besser gestellt sind als die Geberländer. Die ches Zahlungsmittel zu erhalten – auch entgegen anders ge-
   AfD setzt sich dafür ein, die Bund-Länder-Finanzen neu zu      richteter Bestrebungen der Bundesregierung, des Internatio-
   ordnen, um Kompetenzgerangel zu unterbinden und klare          nalen Währungsfonds (IWF), der Europäischen Zentralbank
   Verantwortlichkeiten zu schaffen. Bund, Länder und Kom-        (EZB) und einiger EU-Mitgliedsstaaten. Ein bargeldloser
   munen brauchen eigene Finanzierungsquellen, aus denen sie      Staat unterstellt allen Bürgern unterschiedslos und pauschal
   ihre Tätigkeiten selbst finanzieren.                           mafiöse Schwarzgeldgeschäfte, kriminelle Rotlicht- oder gar
                                                                  Terrorabsichten. Mit einem liberalen, freiheitlichen Rechts-
     Eine klare Aufgabenzuteilung soll Wettbewerb zwischen        staat sind solche Kontrollmöglichkeiten nicht vereinbar.
   den Bundesländern ermöglichen. Wir fordern eigenverant-        Rein elektronisches Geld macht Bürger und Wirtschaft
   wortliche Länder und Kommunen, die auch für sich ge-           davon abhängig, dass die für die Zahlungsvorgänge notwen-
   nommen insolvenzfähig sein müssen. Wie auf europäischer        digen Datenverarbeitungssysteme nicht ausfallen. Wäre Geld
   Ebene befürworten wir hier die Nichtbeistandsklausel, so       nur noch elektronisch existent, könnte es in Krisenzeiten
   dass Rettungsprogramme des Bundes für überschuldete            einfach gelöscht oder temporär gesperrt werden oder nicht
   Kommunen oder Länder verboten sind.                            mehr zuzuordnen sein, etwa im Falle eines erfolgreichen
                                                                  Cyberangriffs.
   11.9 Staatsschulden planmäßig tilgen
                                                                    Ursächliches Kernproblem ist die von der Politik herbeige-
     Die AfD strebt die Rückkehr zu ausgeglichenen Staats-
                                                                  führte Überschuldung von Staaten. Mit der Bargeldabschaf-
   haushalten an. Sie befürwortet die schrittweise Rückführung
                                                                  fung würde die Rolle des Geldes als unantastbarer Wert-
   der ausgeuferten öffentlichen Verschuldung. Nachfolgende
                                                                  speicher massiv eingeschränkt. Sie würde die überfallartige
   Generationen sollen nicht die Folgen der bisherigen kurz-
                                                                  finanzielle Enteignung aller Geldvermögen ermöglichen
   sichtigen Schuldenpolitik auferlegt werden. Hierzu müssen
"
77,"77 Programm für Deutschland | Finanzen und Steuern
   – ohne die sonst mögliche Gegenwehr, sich ins Bargeld zu        11.11 Geldsystem überdenken, Gold heimholen
   flüchten. Auch Anleiheninhaber oder Lebensversicherungs-
                                                                     Unsere Sorge gilt auch dem Geldsystem selbst. Die Zen-
   sparer könnten ihrer allmählichen Enteignung durch Ne-
                                                                   tralbanken verfolgen eine interventionistisch-künstliche
   gativzinsen dann nur noch durch Umschichtung in andere,
                                                                   Nullzinspolitik und werden diese wohl fortsetzen – bis hin
   risikoreichere Anlageklassen entkommen.
                                                                   zu negativen Zinssätzen. Solche schweren Eingriffe in die     Damit Deutschland bei
                                                                   finanziellen Eigentums- und Freiheitsrechte der Bürger füh-   einer demokratischen
     Ein Bargeldverbot würde bedeuten, dass sämtliche Zah-                                                                       Entscheidung hin zu stabilem
                                                                   ren letztlich zwingend zu einem nicht wünschenswerten wei-
   lungsvorgänge nur noch elektronisch stattfinden können.                                                                       Geld alle Optionen offen hat,
                                                                   teren Machtzuwachs des Staates und des Finanzsektors. Aus     wollen wir das Gold der
   Dies eröffnet Staat und Banken die totale Überwachung und
                                                                   Sorge um unser Geld werden wir auch darüber nachdenken        Bundesbank ausschließlich in
   Kontrolle über alle Geldströme und Wirtschaftsaktivitäten,                                                                    Deutschland aufbewahren.
                                                                   müssen, ob grundsätzliche Reformen am Geldsystem und
   über jede finanzielle Handlung der Bürger, unter Umständen
                                                                   dem Kartell aus Zentral- und Geschäftsbanken notwendig
   sogar über deren Aufenthaltsorte. Aus dem gläsernen Bank-
                                                                   sind. Damit Deutschland bei einer demokratischen Entschei-
   kunden würde der gläserne Mensch – Vollüberwachung bis
                                                                   dung hin zu stabilem Geld alle Optionen offen hat, sollte das
   hinein in private, ja intimste Lebensbereiche. Die an totalitä-
                                                                   Gold der Bundesbank ausschließlich in Deutschland gelagert
   re Staaten erinnernde Kontrolle würde das gesellschaftliche
                                                                   werden.
   Leben grundlegend ändern: Jede finanzielle Aktivität zwi-
   schen Menschen würde transparent; Ausweichmaßnahmen
   der Bürger, um sich einen Rest an Privatheit zu bewahren,
   würden vermutlich unter dem Deckmantel der Kriminali-
   tätsabwehr mit repressiven Maßnahmen bekämpft.
"
78,"KAPITEL 12
Energiepolitik
"
79,"79 Programm für Deutschland | Energiepolitik
   12.1 Klimaschutzpolitik: Irrweg beenden,                         Unter dem Schlagwort „Klimaneutrales Deutschland
   Umwelt schützen                                                2050“ durch „Dekarbonisierung“ missbraucht die deutsche
                                                                  Regierung die steigende CO2-Konzentration zur „Großen
     Das Klima wandelt sich, solange die Erde existiert. Die Kli-
                                                                  Transformation“ der Gesellschaft, mit der Folge, dass die
   maschutzpolitik beruht auf hypothetischen Klima-Modellen
                                                                  persönliche und wirtschaftliche Freiheit massiv einge-
   basierend auf computergestützten Simulationen des IPCC
                                                                  schränkt wird. Die hierzu geplante zwangsweise Senkung der
   („Weltklimarat“). Kohlendioxid (CO2) ist kein Schadstoff,
                                                                  CO2-Emissionen um mehr als 85 Prozent würde den Wirt-
   sondern ein unverzichtbarer Bestandteil allen Lebens.
                                                                  schaftsstandort schwächen und den Lebensstandard sen-
                                                                  ken. Auf dem Weg dorthin wird auch unsere bisher sichere
     Der IPCC versucht nachzuweisen, dass die von Menschen
                                                                  Stromversorgung destabilisiert und weiter verteuert, außer-
   verursachten CO2-Emissionen zu einer globalen Erwärmung
                                                                  dem soll die Wärmeerzeugung durch fossile Energieträger
   mit schwerwiegenden Folgen für die Menschheit führen.                                                                      Das Klima wandelt sich,
                                                                  praktisch auf Null gebracht werden.
   Hierzu beruft man sich auf Computermodelle, deren Aussa-                                                                   solange die Erde existiert.
   gen durch Messungen oder Beobachtungen nicht bestätigt                                                                     Die Klimaschutzpolitik der
                                                                    Die AfD sagt daher „Ja zum Umweltschutz“, macht aber      Bundesregierung beruht auf
   werden. Seit die Erde eine Atmosphäre hat, gibt es Kalt- und
                                                                  Schluss mit der „Klimaschutzpolitik“ und mit den Plänen zur bisher unbewiesenen
   Warmzeiten. Wir leben heute in einer Warmzeit mit Tem-                                                                     hypothetischen
                                                                  Dekarbonisierung und „Transformation der Gesellschaft“.
   peraturen ähnlich der mittelalterlichen und der römischen                                                                  Klimamodellen.
                                                                  Die Wahrnehmung des CO2 nur als Schadstoff werden wir
   Warmzeit. Die IPCC-Modelle können diese Klimaänderun-
                                                                  beenden und alle Alleingänge Deutschlands zum Reduzieren
   gen nicht erklären.
                                                                  der CO2-Emissionen unterlassen. CO2-Emissionen wollen
                                                                  wir nicht finanziell belasten. Klimaschutz-Organisationen
     Im 20. Jahrhundert stieg die globale Mitteltemperatur um
                                                                  werden nicht mehr unterstützt.
   etwa 0,8 Grad. Seit Ende der 90er Jahre des letzten Jahr-
   hunderts gibt es jedoch im Widerspruch zu den IPCC-Prog-
   nosen keinen weiteren Anstieg, obwohl in diesem Zeitraum
   die CO2-Emissionen stärker denn je gestiegen sind.
     IPCC und deutsche Regierung unterschlagen die positive
   Wirkung des CO2 auf das Pflanzenwachstum und damit auf
   die Welternährung. Je mehr es davon in der Atmosphäre
   gibt, umso kräftiger fällt das Pflanzenwachstum aus.
"
80,"80 Programm für Deutschland | Energiepolitik
   12.2 Das Erneuerbare-Energien-Gesetz                          schutz“ werden die sonst nicht marktfähigen Anlagen massiv
   ist nicht reformierbar                                        subventioniert. Das geschieht durch staatliche Zwangsver-
                                                                 marktung mittels Vorrangeinspeisung und zwanzigjähriger
     Jede erfolgreiche Energiepolitik muss drei Ziele verfol-
                                                                 garantierter Einspeisevergütung. Die Kosten dieser Subven-
   gen. Die Stromerzeugung muss sicher, kostengünstig und
                                                                 tionierung von mittlerweile 27 Milliarden EURO jährlich
   umweltverträglich sein. Dieser Dreiklang war im deutschen
                                                                 werden mittels EEG-Umlage auf die Verbraucher abgewälzt.
   Energieversorgungs-System immer gegeben, wurde aber mit
                                                                 Der Strompreis hat sich in den letzten zehn Jahren bereits
   dem Erneuerbare-Energien-Gesetz (EEG) aufgegeben.
                                                                 verdoppelt. Ein Ende dieses Preisanstiegs ist nicht absehbar.
                                                                 Im Ergebnis findet eine gigantische Umverteilung von Ver-      Die AfD tritt daher dafür ein,
     Das EEG und die Energiewende gefährden die Stromver-
                                                                 mögen statt, von der Bevölkerung und Wirtschaft hin zu den     das EEG ersatzlos
   sorgung. Sie treiben technisch bedingt den Strompreis hoch.
                                                                 wenigen Subventionsgewinnern.                                  abzuschaffen. Die AfD wird
   Windenergieanlagen zerstören das Bild unserer Kulturland-                                                                    sich dafür einsetzen, dass das
   schaften und sind überdies für Vögel eine tödliche Gefahr.                                                                   als verfassungs- und
                                                                    Trotz der immer höheren Zahl an EE-Anlagen ist der          europarechtswidrig
                                                                 CO2-Ausstoß seit 2000 wegen des abrupten Ausstiegs aus         eingestufte EEG vom
     Der von Wind und Sonne erzeugte Strom schwankt be-                                                                         Bundesverfassungsgericht
                                                                 der Kernenergie unverändert geblieben. Große Flächen, auch
   ständig zwischen Null und voller Leistung. Die installierte                                                                  geprüft wird.
                                                                 in Wäldern, verwandeln sich durch EE-Anlagen in Industrie-
   Leistung dieser volatilen Stromerzeuger beträgt bereits mehr
                                                                 gebiete - mit allen nachteiligen Auswirkungen auf die Natur
   als 80 Gigawatt und müsste daher ausreichen, Deutschland
                                                                 und die Menschen. Das Gleiche vollzieht sich jetzt mit dem
   selbst bei maximalem Verbrauch vollständig mit Strom
                                                                 Ausbau der Hochspannungsnetze. Das Errichten weiterer
   zu versorgen. Real aber haben diese „EE-Anlagen“ in der
                                                                 EE-Anlagen stößt an Grenzen.
   Vergangenheit im Durchschnitt nur einen Bruchteil ihrer
   Nennleistung geliefert, an vielen Tagen im Jahr sogar nur
                                                                    Flächendeckender Starkwind an wolkenlosen Tagen führt
   wenige Prozent. Deshalb können diese Anlagen kein einziges
                                                                 schon jetzt zu nicht nutzbarem Stromüberschuss. Gegentei-
   herkömmliches Großkraftwerk ersetzen. Außerdem erzwin-
                                                                 lige Wetterlagen führen zu elektrischer Unterversorgung, die
   gen sie einen massiven Ausbau der Leitungsnetze, der zu
                                                                 sich nur durch konventionelle Erzeugung ausgleichen lässt.
   weiteren erheblichen Kosten führt. Die steigende Zahl der
                                                                 Überschussstrom zu nutzen, wäre nur mit großen Stromspei-
   volatilen Stromerzeuger gefährdet zunehmend die Netzsta-
                                                                 chern möglich. Aber die gibt es nicht. Es gilt der Satz: „Ohne
   bilität. Entsprechend stark ist die Zahl der stabilisierenden
                                                                 große Stromspeicher ist die Energiewende nicht möglich, mit
   Netzeingriffe gestiegen, die nötig wurden, Stromausfälle bis
                                                                 großen Stromspeichern ist sie nicht bezahlbar.“
   hin zum Totalausfall zu vermeiden.
                                                                    Es liegen in der Zwischenzeit valide Rechtsgutachten
     Das EEG ist staatliche Planwirtschaft und eine Abkehr von
                                                                 vor, die das EEG als verfassungs- und europarechtswidrig
   der Sozialen Marktwirtschaft. Begründet mit dem „Klima-
"
81,"81 Programm für Deutschland | Energiepolitik
   einstufen. Es wird u.a. aufgezeigt, dass die EEG-Umlage zu     2050 den CO2-Ausstoß um mehr als 85 Prozent verringern
   Unrecht von dem Stromkunden erhoben wird. Das einzig           soll, sind die Gebäude nach der Energieeinsparverordnung
   zulässige Finanzierungsinstrument sei die Steuer. Das EEG      (EnEV) entsprechend stark zu dämmen. Die erforderliche
   enthalte auch keine Verpflichtung der Letztverbraucher, die    Restwärme ist gemäß Erneuerbare-Energien-Wärmegesetz
   EEG-Umlage zu zahlen.                                          (EEWärmeG) weitestgehend durch „Erneuerbare Energien“
                                                                  (EE) zu erzeugen.
     Die AfD tritt daher dafür ein, das EEG ersatzlos abzu-
   schaffen. Es darf kein Tabu sein, den Umfang bestehender         Wie bei EEG und Energiewende reden Regierung und
   Subventionsverpflichtungen aus dem EEG infrage zu stellen.     Profiteure die erforderlichen Kosten zum Umsetzen dieser
   Die AfD will einzelne Energieträger weder bevorzugen noch      Maßnahmen klein oder verschweigen sie. Die Kosten liegen
   benachteiligen. Wir wollen die Vorrangeinspeisung von          auch in diesem Fall bei mehr als 3.000 Milliarden EURO.
   Strom generell abschaffen. Quoten-/Auktionsmodelle, um         Tragen müssen diese zusätzlichen Kosten die Gebäudeeigner
   mit ihnen staatlich-planwirtschaftliche Ziele in der Ener-     und Mieter. Wie von Fachleuten nachgewiesen, werden die        Die staatliche Bevormundung
                                                                                                                                 der Besitzer von Gebäuden,
   giepolitik durchzusetzen, lehnen wir ab. Netzkosten sind auf   erhofften Wirkungen nur bei wenigen Gebäudekonstrukti-         der Wohneigentümer und
   alle Stromerzeuger verursachungsgerecht umzulegen. Die         onen mit zuvor sehr schlechter Wärmedämmung erreicht.          Mieter für Maßnahmen zur
   Stromsteuer wollen wir streichen und so die Stromkunden        Daneben verursacht das Dämmen an den Gebäuden häufig           Wärmedämmung und
                                                                                                                                 Erhöhung der
   sofort entlasten. Unser Ziel ist es, das deutsche Stromversor- massive Schäden, als Folge z.B. von mangelhaftem Luftaus-
                                                                                                                                 Energie-Effizienz in
   gungssystem wieder auf jenen Stand der Technik zu bringen,     tausch, aber auch von Durchfeuchtung, Algen- und Pilzbe-       Gebäuden ist zu beenden.
   der eine sichere, kostengünstige und umweltverträgliche        fall der Außenwände. Historische und denkmalgeschützte
   Stromversorgung sicherstellt. Die AfD wird sich dafür einset-  Fassaden werden zerstört. Zudem erhöhen die überwiegend
   zen, dass das als verfassungs- und europarechtswidrig einge-   genutzten Dämmmaterialen aus Polystyrol (Hartschaum-
   stufte EEG vom Bundesverfassungsgericht geprüft wird.          platten) die Brandgefahr.
   12.3 Zum Schutz von Mietern und Eigentümern:                     Ein messbar geringerer Energieverbrauch wird hingegen
   Energieeinsparverordnung und                                   nur selten erreicht. Oft tritt das Gegenteil ein, da die Dämm-
   Erneuerbare-Energien-Wärmegesetz abschaffen                    materialien das Eindringen der durch die Sonne erzeugten
                                                                  Wärme verhindern. Für die Erzeugung von Wärme und
     Durch Verbrennen von Erdgas, Öl und Kohle werden etwa
                                                                  Kälte sind die EE gegenüber der Energie aus fossilen und
   80 Prozent der global verbrauchten Primärenergie erzeugt
                                                                  Kernbrennstoffen auch langfristig nicht wettbewerbsfähig.
   und dabei jenes CO2 freigesetzt, das für einen von Menschen
                                                                  Die seit Jahren immer wieder beschworenen Verknappungs-
   induzierten Klimawandel verantwortlich sein soll. Ein Groß-
                                                                  szenarien sind stillschweigend aufgegeben worden. High-
   teil dieser Energie wird für das Erzeugen von Wärme und
                                                                  tech-Wärme- und Kälteanlagen - z.B. unter Nutzung der
   Kälte in Gebäuden eingesetzt. Da die Dekarbonisierung bis
"
82,"82 Programm für Deutschland | Energiepolitik
   Brennwerttechnik und der Kraft-Wärme-Kopplung – lassen     12.4 Bioenergie: Subventionen beenden,
   für EE nur einen geringen Spielraum. Hierzu zählt die Nut- Vorrangeinspeisung einstellen
   zung von Erd- und Luftwärme mittels Wärmepumpen oder
                                                                Die „Erneuerbaren Energien“ lieferten 2014 etwa 11 Pro-
   Solarthermie.
                                                              zent der in Deutschland verbrauchten Primärenergie. Gut 7
                                                              Prozent oder zwei Drittel wurden aus Biomasse gewonnen.
     Die staatliche Bevormundung der Besitzer von Gebäuden,
                                                              Das teilt sich auf zu je 3,3 Prozent in die Wärme- und die
   der Wohneigentümer und Mieter für Maßnahmen zur Wär-
                                                              Stromerzeugung und zu 0,8 Prozent in die Herstellung von
   medämmung und Erhöhung der Energie-Effizienz in Gebäu-
                                                              Biotreibstoffen.
   den ist zu beenden. EnEV und EEWärmeG führen zu einem
                                                                                                                           Wir setzen uns dafür ein, die
   rasanten Anstieg der Baukosten und dienen als Rechtferti-
                                                                Die Wärmeenergie aus Biomasse wird sowohl zu Heizzwe-      Subventionierung und
   gung für Luxussanierungen. Dadurch sind die Mieten vieler                                                               Vorrangeinspeisung des Stroms
                                                              cken als auch für Prozesse in der Industrie eingesetzt. Der
   Wohnungen für Bürger mit mittleren und geringen Ein-                                                                    aus Biogasanlagen durch
                                                              Strom aus Biomasse wird über das EEG massiv subventio-       Abschaffen des EEG zu
   kommen kaum noch bezahlbar. Auch aus diesen Gründen
                                                              niert. Die Stromgestehungskosten über Biogasanlagen sind     beenden. Die Subventionierung
   setzt sich die AfD dafür ein, die EnEV und das EEWärmeG                                                                 der Biokraftstoffe durch das
                                                              mit bis zu 215 EURO je Megawattstunde am höchsten. Der
   ersatzlos zu streichen.                                                                                                 Quotensystem ist einzustellen.
                                                              Betrieb solcher Anlagen im ländlichen Raum belastet häufig
                                                              die Umwelt. Biotreibstoffe werden in großtechnischen Anla-
                                                              gen produziert und über ein Quotensystem indirekt subven-
                                                              tioniert. Die Zwangsbeimischung erhöhte den Preis von Die-
                                                              sel und Benzin 2014 um etwa 0,4 Cent je Liter. Wegen des
                                                              geringen Wirkungsgrades der Photosynthese von weniger als
                                                              ein Prozent ist der Verbrauch landwirtschaftlicher Nutzflä-
                                                              che für Bioenergie unangemessen groß. Sie steht damit in
                                                              Konkurrenz zur Erzeugung von Nahrungsmitteln. Dagegen
                                                              ist es sinnvoll, für das Gewinnen von Bioenergie biologische
                                                              Abfälle zu verwerten.
                                                                Daher setzt sich die AfD dafür ein, die Subventionierung
                                                              und Vorrangeinspeisung des Stroms aus Biogasanlagen
                                                              durch Abschaffen des EEG zu beenden. Die Subventionie-
                                                              rung der Biokraftstoffe durch das Quotensystem ist einzu-
                                                              stellen.
"
83,"83 Programm für Deutschland | Energiepolitik
   12.5 Fracking: Risiken und Chancen erforschen,               12.6 Kernenergie: Alternativen erforschen.
   nicht ohne Bürgerbeteiligung                                 Bis dahin Laufzeitverlängerung
                                                                                                                               Solange die Stromversorgung
     Das „Fracking” genannte Verfahren zur Erschließung un-       Die überhasteten Ausstiegsbeschlüsse aus der Kernkraft       nicht ausreichend gesichert
   terirdischer Energieträger bringt Risiken mit sich, eröffnet von 2002 und 2011 waren sachlich nicht begründet und           ist, setzt sich die AfD dafür
   aber auch neue Möglichkeiten der Energieversorgung. Wir      wirtschaftlich schädlich. Solange die Stromversorgung am       ein, eine Laufzeitverlängerung
                                                                                                                               der noch in Betrieb
   wollen die Technik, Vorteile und Risiken des Fracking nach   Ort und zur Zeit der Nachfrage nicht gesichert ist, setzt sich befindlichen Kernkraftwerke
   den bestehenden strengen deutschen Umwelt- und Berg-         die AfD dafür ein, eine Laufzeitverlängerung der noch in       übergangsweise zu gestatten.
   baugesetzen erforschen. Sollten die Risiken beherrschbar     Betrieb befindlichen Kernkraftwerke übergangsweise zu
   erscheinen, wollen wir Fracking entwickeln und mögliche      gestatten. Der Import von Strom aus unsichereren ausländi-
   Standorte erkunden lassen. Daher setzt sich die AfD dafür    schen Kernkraftwerken ist weder für den Wirtschaftsstand-
   ein, das im April 2015 in den Bundestag eingebrachte rest-   ort Deutschland sinnvoll, noch trägt er zur Reduzierung der
   riktive „Fracking-Gesetz“ zurückzuziehen.                    Risiken durch die Kernkraft bei.
     Über die wirtschaftlichen und politischen Vorteile des       Radioaktive Reststoffe sollten dezentral, zugänglich und
   Fracking im Vergleich zu den realen Risiken ist die Bevöl-   katalogisiert in gesicherten Orten eingelagert werden, wo
   kerung sachlich zu informieren. Den kommerziellen Einsatz    jederzeit der Zugriff möglich ist, um sie mit technischem
   des Fracking zur Erdöl- und Erdgasförderung an neuen         Fortschritt wieder aufbereiten zu können. Eine zentrale
   Standorten lehnt die AfD ab, solange die Energieversorgung   Endlagerung an einem später kaum mehr zugänglichen Ort
   Deutschlands anderweitig sichergestellt ist. Die endgültige  halten wir für den falschen Weg.
   Entscheidung über den Einsatz der Fracking-Technik an ge-
   eigneten Standorten müssen letztlich die vor Ort betroffenen   Wir wollen die Forschung zur Kernenergie sowie Reaktor-
   Bürger fällen.                                               und Kraftwerkstechnik wieder erlauben. Dabei sind selbst-
                                                                verständlich die nötigen Sicherheitsstandards einzuhalten.
                                                                Die Nutzung der Kernenergie ist jedoch kein Selbstzweck
                                                                und ihre zukünftige Ersetzung denkbar. Deshalb sind alle
                                                                übrigen Energieformen weiter mit Nachdruck zu erforschen.
"
84," KAPITEL 13
Natur- und Umweltschutz,
Land- und Forstwirtschaft
"
85,"85 Programm für Deutschland | Natur- und Umweltschutz, Land- und Forstwirtschaft
   NATUR- UND UMWELTSCHUTZ,
   LAND- UND FORSTWIRTSCHAFT
     Wir stehen dafür, dass wir gegenüber nachfolgenden Gene-
   rationen eine Verantwortung haben. Wir wollen eine intakte
   und vielfältige Natur erhalten. Eine gesunde Umwelt ist die
   Lebensgrundlage für alle Menschen und zukünftige Gene-
   rationen. Naturschutz darf nicht zu Lasten der Menschen
   gehen.
     Es muss aber im Meer genau wie zu Lande auch Gebiete
   geben, in denen die Natur völlig sich selbst überlassen bleibt.
   Sogenannte Nullnutzungszonen sichern das Überleben von
   vielen seltenen Pflanzen- und Tierarten. Diese nutzungsfrei-
   en Zonen sichern das Überleben von vielen seltenen Pflan-
   zen- und Tierarten.
"
86,"86 Programm für Deutschland | Natur- und Umweltschutz, Land- und Forstwirtschaft
   13.1 Intakte Natur und gesunde Umwelt                        13.3 Tiere sind fühlende Wesen
      Die AfD steht für einen Umwelt- und Naturschutz, der den    Die AfD setzt sich für eine konsequente Umsetzung der
   Menschen nicht als Fremdkörper und Störenfried betrachtet,   Tierschutzgesetze ein. Tiere sind Mitgeschöpfe und keine
   sondern in ein umfassendes Handlungskonzept einbezieht.      Sachgegenstände. Ausnahmen für grausame oder unnötige
   Wir lassen uns dabei von der Erkenntnis leiten, dass eine    Tierversuche darf es auch nicht in der Wissenschaft geben.
   gesunde und artenreiche Umwelt die Lebensgrundlage für       Als fühlende Wesen haben Tiere ein Recht auf eine artge-
   alle Menschen und zukünftige Generationen darstellt. Daher   rechte Haltung im privaten wie im kommerziellen Bereich.
   sind Vorkehrungen zu treffen, die Schutzgüter, wie Boden,    Die gesetzlich vorgeschriebene artgerechte Haltung von
   Wasser, Luft, Landschaft, Tiere und Pflanzen, zu schützen.   Tieren muss in der Landwirtschaft (bei nicht artgerech-
   Schwerpunkte der Umweltpolitik der AfD sind deshalb u.a.,    ten Massentierhaltungen), im Zoo, im Zirkus (Verbot der
                                                                                                                              Den weiteren Ausbau
   den Landschaftsverbrauch zu vermindern, die Schadstoffein-   Haltung von großen Wildtieren), in Delphinarien und in der    der Windenergie in
   träge in Böden und Gewässer zu verringern und die Luftqua-   Haustierhaltung durchgesetzt werden.                          Deutschland lehnen wir ab.
   lität zu verbessern. Auch ein effektiver Lärmschutz gehört
   dazu.                                                          Für den Transport von Schlachttieren fordert die AfD, dass
                                                                immer der nächstgelegene Schlachthof angefahren werden
      Die AfD spricht sich, bis zur fundiert nachgewiesenen Un- muss und der Transport von Schlachttieren nur über kurze
   schädlichkeit für Mensch und Tier, ausdrücklich gegen den    Distanzen innerhalb von Deutschland erlaubt ist.
   Einsatz des von der WHO als wahrscheinlich krebserzeugend
   eingestuften Glyphosat beim Pflanzenschutz aus.                Tierhaltende Betriebe, welche der Lebensmittelproduktion
                                                                dienen, sind dafür verantwortlich, dass ihre Produkte frei
   13.2 Unkontrollierten Ausbau der                             von Antibiotikarückständen und multiresistenten Keimen
   Windenergie stoppen                                          (MRSA) sind. Die Anzahl der Antibiotika-Behandlungen ist
                                                                in Anbetracht der zunehmenden Ausbreitung multiresis-
      Den weiteren Ausbau der Windenergie in Deutschland
                                                                tenter Keime zu minimieren. Um den Gesundheitsschutz
   lehnen wir ab. Er bringt mehr Schaden als Nutzen. Winde-
                                                                der Bevölkerung zu erhöhen, sind tierhaltende Betriebe der
   nergieanlagen sind nur noch ausnahmsweise an Standorten
                                                                Lebensmittelproduktion, die Antibiotika einsetzen, dafür
   zuzulassen, an denen keine Beeinträchtigungen für Men-
                                                                verantwortlich, dass die Tiere frei von Antibiotika-Resisten-
   schen, Tiere oder das Landschaftsbild zu erwarten sind. Bei
                                                                zen sind, bevor die Produkte in die Lebensmittelweiterverar-
   der Standortwahl sind die Menschen vor Ort durch Bürge-
                                                                beitung gelangen. Für die Humanmedizin wichtige Antibioti-
   rentscheide zu beteiligen.
                                                                ka dürfen in der Tierhaltung nicht verwendet werden.
"
