text,page
"                          Kultur, Sprache und Identität        95




Deutschland. Dessen Zwangsfinanzierung ist umgehend
abzuschaffen und in ein Bezahlfernsehen umzuwandeln.
Eine Opt-Out-Regelung soll es den bisherigen Beitrags-
zahlern ermöglichen, zu einem Stichtag ihren Bezug ganz
oder teilweise zu kündigen. Der Empfang wird verschlüs-
selt bzw. passwortgeschützt, sodass nur noch freiwillige
Zahler über einen Zugang verfügen. Der öffentlich-rechtli-
che Rundfunk wird so zu einem Bürgerrundfunk, welches
ausschließlich von seinen zahlenden Zuschauern und nicht
mehr von der Politik abhängig ist. Entsprechend ist auch
die Rundfunkkontrolle anzupassen. Ähnlich wie ein Kir-
chengemeinderat oder der Aufsichtsrat von Aktiengesell-
schaften sollen seine Kontrollgremien von den Zuschauern
gewählt werden. Nur dann ist das Prädikat „staatsfern“
auch gerechtfertigt.

Weiter hat sich der öffentlich-rechtliche Rundfunk auf
wertvolle Inhalte wie hochwertige Berichterstattung, Bil-
dung, Kunst und Kultur zu konzentrieren und darf kost-
spielige Unterhaltung nur noch dann bieten, wenn er auch
die notwendigen Einnahmen dafür erzielt.

7.6 Der Islam im Spannungsverhältnis
zu unserer Werteordnung

Die AfD bekennt sich uneingeschränkt zur Glaubens-,
Gewissens- und Bekenntnisfreiheit. Sie fordert jedoch,
der Religionsausübung durch die staatlichen Gesetze, die
Menschenrechte und unsere Werte Schranken zu setzen.
Einer islamischen Glaubenspraxis, die sich gegen die
freiheitlich-demokratische Grundordnung, unsere Gesetze
und gegen die jüdisch-christlichen und humanistischen
Grundlagen unserer Kultur richtet, tritt die AfD klar entge-
",95
"             96         Kultur, Sprache und Identität




                        gen. Die Rechtsvorschriften der Scharia sind mit unserer
                        Rechtsordnung und unseren Werten unvereinbar. Dies
                        wird auch durch die für die islamische Staatenwelt bedeu-
                        tendste Kairoer Erklärung vom 4.8.1990 dokumentiert.

                        7.6.1 Der Islam gehört nicht zu Deutschland

Viele gemäßigte         Der Islam gehört nicht zu Deutschland. In seiner Ausbrei-
Muslime leben
rechtstreu sowie
                        tung und in der Präsenz einer ständig wachsenden Zahl
integriert und sind     von Muslimen sieht die AfD eine große Gefahr für unseren
akzeptierte             Staat, unsere Gesellschaft und unsere Werteordnung. Ein
und geschätzte
Mitglieder              Islam, der unsere Rechtsordnung nicht respektiert oder
unserer Gesellschaft.   sogar bekämpft und einen Herrschaftsanspruch als allein-
Sie gehören zu
Deutschland.
                        gültige Religion erhebt, ist mit unserer Rechtsordnung und
Der Islam gehört        Kultur unvereinbar. Viele Muslime leben rechtstreu sowie
aber nicht              integriert und sind akzeptierte und geschätzte Mitglieder
zu Deutschland.
                        unserer Gesellschaft. Die AfD verlangt jedoch zu ver-
                        hindern, dass sich islamische Parallelgesellschaften mit
                        Scharia-Richtern bilden und zunehmend abschotten. Sie
                        will verhindern, dass sich Muslime bis zum gewaltbereiten
                        Salafismus und Terror religiös radikalisieren.

                        7.6.2 Kritik am Islam muss erlaubt sein

                        Religionskritik, auch Kritik am Islam, ist im Rahmen der
                        allgemeinen Gesetze rechtmäßig als Teil des Grundrechts
                        der freien Meinungsäußerung. Religiöse Satire und Karika-
                        turen sind ebenfalls von der Meinungs- und Kunstfreiheit
                        geschützt. Die AfD wendet sich gegen eine Diffamierung
                        von Islamkritik als „Islamophobie“ oder „Rassismus“.
",96
"                         Kultur, Sprache und Identität       97




7.6.3 Auslandsfinanzierung
von Moscheen beenden

In den Berichten der Ämter für Verfassungsschutz wird
eine Reihe von Vereinen aufgeführt, deren Aktivitäten
sich gegen den freiheitlichen Verfassungsstaat und seine
Gesetze richten und die als extremistisch verboten werden
müssen. Die Bandbreite solcher Vereine reicht vom „lega-
listischen“ Islam, der für seine verfassungswidrigen Ziele
unsere Gesetze ausnutzt, bis zum Salafismus. Sowohl die
Innere Sicherheit unseres Staates wie die Integration von
Muslimen werden durch solche Vereine konkret gefährdet.

Die AfD verlangt, verfassungsfeindlichen Vereinen den
Bau und Betrieb von Moscheen wegen der Gefahr zu
untersagen, dass die dort verbreitete Lehre gegen das
Grundgesetz und unsere Rechtsordnung verstößt und zu
politisch-religiöser Radikalisierung führt.

Die Finanzierung des Baus und Betriebs von Moscheen
durch islamische Staaten oder ausländische Geldgeber
bzw. ihre Mittelsmänner soll unterbunden werden. Isla-
mische Staaten wollen durch den Bau und Betrieb von
Moscheen den Islam in Deutschland verbreiten und ihre
Macht vergrößern. Die wachsende Einflussnahme des isla-
mischen Auslands ist mit dem freiheitlichen Verfassungs-
staat und der Integration von hier lebenden Muslimen
nicht vereinbar.

Imame sollen in deutscher Sprache an deutschen Universi-
täten ausgebildet werden, unabhängig von Weisungen des
islamischen Auslands und von muslimischen Verbänden.
Von aus dem islamischen Ausland entsandten Imamen
",97
"98   Kultur, Sprache und Identität




     geht die Gefahr rechts- und verfassungswidriger Indoktri-
     nation der Moscheebesucher aus.

     Das Minarett lehnt die AfD als islamisches Herrschafts-
     symbol ebenso ab wie den Muezzinruf, nach dem es außer
     dem islamischen Allah keinen Gott gibt. Minarett und
     Muezzinruf stehen im Widerspruch zu einem toleranten
     Nebeneinander der Religionen, das die christlichen Kir-
     chen in der Moderne praktizieren.

     7.6.4 Keine öffentlich-rechtliche
     Körperschaft für islamische Organisationen

     Die AfD lehnt es ab, islamischen Organisationen den
     Status einer Körperschaft des öffentlichen Rechts zu
     verleihen, weil sie die rechtlichen Voraussetzungen nicht
     erfüllen.

     Islamische Organisationen erstreben den Körperschafts-
     status mit seinen Privilegien, um ihre Macht zu stärken.
     Voraussetzung für den Körperschaftsstatus ist eine aus-
     reichende Repräsentanz, die Gewähr der Dauer sowie die
     Achtung des freiheitlichen Staatskirchenrechts. Letzteres
     verlangt die Anerkennung der Religionsfreiheit, der wel-
     tanschaulichen Neutralität des Staates und der Parität der
     Religionen und Bekenntnisse.

     7.6.5 Keine Vollverschleierung
     im öffentlichen Raum

     Die AfD fordert ein allgemeines Verbot der Vollverschlei-
     erung in der Öffentlichkeit und im öffentlichen Dienst.Bur-
     ka oder Niqab errichten eine Barriere zwischen der Träge-
",98
"                          Kultur, Sprache und Identität      99




rin und ihrer Umwelt und erschweren damit die kulturelle
Integration und das Zusammenleben in der Gesellschaft.
Ein Verbot ist daher notwendig und nach einem Urteil des
EuGH rechtmäßig.



Im öffentlichen Dienst soll kein Kopftuch getragen werden;
in Bildungseinrichtungen weder von Lehrerinnen noch
Schülerinnen in Anlehnung an das französische Modell.

Der Integration und Gleichberechtigung von Frauen und
Mädchen sowie der freien Entfaltung der Persönlichkeit
widerspricht das Kopftuch als religiös-politisches Zeichen
der Unterordnung von muslimischen Frauen unter den
Mann.
",99
,100
"KAPITEL 8




Schule,
Hochschule
und
Forschung
",101
"102   Schule, Hochschule und Forschung




      8.1 Forschung und Lehre:
      in Freiheit und als Einheit

      Die AfD fühlt sich dem Humboldtschen Bildungsideal
      verpflichtet. Die Freiheit von Forschung und Lehre sind
      unabdingbare Grundvoraussetzungen für wissenschaftli-
      chen Fortschritt. Deshalb müssen die Hochschulen über
      Art und Umfang ihres Studienangebotes frei entscheiden
      können. Der Wissenschaftsbetrieb muss vor ausufernden
      bürokratischen Regelungen geschützt werden und die Wis-
      senschaft muss frei von ideologischen Zwängen sein.

      Das Ethos der Wissenschaft, zu dem die Kritikfähigkeit,
      Unvoreingenommenheit und der Respekt vor anderen
      Wissenschaftlern und ihren Leistungen gehört, ist zu stär-
      ken. Deutsch soll als Lehrsprache erhalten werden.

      Die Einheit von Forschung und Lehre ist das Alleinstel-
      lungsmerkmal der Universitäten und Hochschulen mit
      Universitätsstatus. Deshalb sollten ausschließlich diese das
      Promotions- und Habilitationsrecht besitzen.

      8.1.1 Autonomie durch
      Grundfinanzierung stärken

      Deutschland verfügt über eine differenzierte Hochschul-
      landschaft von Universitäten und Fachhochschulen, über
      die Kunst- und Musikhochschulen bis zu den Theologi-
      schen und Pädagogischen Hochschulen. Sie erfüllen auf
      hohem Niveau unterschiedliche Aufgaben und Ziele. Um
      den Anschluss an die internationale Spitzenforschung und
      Lehre wieder zu erreichen, sind Universitäten entspre-
      chend auszustatten.
",102
"                   Schule, Hochschule und Forschung            103




Die Studienabschlüsse müssen wieder klare Inhalte und
Fertigkeiten vermitteln und ein eindeutiges Profil haben.
Pädagogische Hochschulen für Grund-, Haupt- und Re-
alschullehramt sind flächendeckend wieder einzuführen.
Berufsbezogene Studienfächer und das duale System sind
zu stärken. Auch kleine Fächer müssen erhalten werden,
um die Vielfalt der Lehre und Forschung zu bewahren.

Die Freiheit von Forschung und Lehre ist nur durch eine
verlässliche staatliche Grundfinanzierung gewährleistet.
Die AfD fordert deshalb, die oft politisch-ideologische Ver-
gabe von staatlichen Drittmitteln durch eine Erhöhung der
Grundfinanzierung zu ersetzen.

8.1.2 Förderung der
„Gender-Forschung” beenden

Die Gender-Forschung erfüllt nicht den Anspruch, der an         Die Gender-Forschung
                                                                erfüllt nicht den
seriöse Forschung gestellt werden muss. Ihre Methoden
                                                                Anspruch, der an
genügen nicht den Kriterien der Wissenschaft, da ihre           seriöse Forschung
Zielsetzung primär politisch motiviert ist. Bund und Län-       gestellt werden muss.
                                                                Bestehende
der dürfen daher keine Sondermittel für die Gender-For-         Gender-Profes-
schung mehr bereitstellen. Bestehende Genderprofessuren         suren sollen nicht
                                                                mehr nachbesetzt,
sollten nicht mehr nachbesetzt, laufende Gender-For-
                                                                laufende Gender-
schungsprojekte nicht weiter verlängert werden.                 Forschungsprojekte
                                                                nicht weiter verlängert
                                                                werden.
8.1.3 Diplom, Magister und
Staatsexamen wieder einführen

Die Änderung des bewährten Studiensystems durch die
Einführung von Bachelor- und Masterstudiengängen
(Bologna-Prozess) war insgesamt ein Missgriff. Speziell
nach dem Bachelor-Abschluss ist die Qualifikation der
",103
"104   Schule, Hochschule und Forschung




      Absolventen für den Arbeitsmarkt häufig nicht zufrieden-
      stellend. Unbeschadet der Gültigkeit erworbener Bache-
      lor- und Mastergrade fordert die AfD die Rückkehr zu
      den bewährten Studienabschlüssen Diplom, Magister und
      Staatsexamen und den entsprechenden Regularien. Bei
      diesen Studiengängen sind Studienplatzwechsel dann auch
      wieder problemlos möglich.

      Planwirtschaftliche Zielvorgaben zu Studentenzahlen,
      Studienerfolg und Frauenanteil lehnen wir ab. Auch für
      Studienabschlüsse darf es keine Quoten geben.

      8.1.4 Studienanforderungen erhöhen

      Die AfD begrüßt die zentrale Rolle der MINT-Fächer
      (Mathematik, Informatik, Naturwissenschaften und
      Technik) für die Wettbewerbs- und Innovationsfähigkeit
      unseres Landes. Es soll Aufnahmeprüfungen insbesondere
      für technische, naturwissenschaftliche und medizinische
      Studienfächer geben. Ständig sinkende schulische An-
      forderungen haben dazu geführt, dass mit bestandenem
      Abitur die Hochschulreife nicht mehr gesichert ist. Die
      Anforderungen an Studenten dürfen sich keinesfalls dem
      gesunkenen Niveau anpassen, sondern müssen sich an
      den international höchsten Standards ausrichten. Die AfD
      fordert deshalb leistungs- und eignungsbezogene Aus-
      wahlverfahren für verschiedene Hochschultypen. Es gilt
      „Qualität vor Quantität“.
",104
"                   Schule, Hochschule und Forschung            105




8.2 Unser Schulsystem:
Stark durch Differenzierung

Eine Politik, die eine nach unten nivellierende Einheits-       Schüler haben
                                                                unterschiedliche
schule anstrebt und dabei einen Qualitätsverlust in Kauf
                                                                Begabungen und
nimmt, bedroht die Zukunftsfähigkeit junger Menschen            Bedürfnisse. Deshalb
und die Konkurrenzfähigkeit unserer Wirtschaft. Wir be-         lehnt die AfD alle Arten
                                                                von Gesamt- oder
fürworten uneingeschränkt das Leistungsprinzip. Schüler         Einheitsschulen ab.
haben ein Recht darauf, in einem nach oben und unten
durchlässigen Schulsystem Erfolge und Niederlagen zu
erfahren.

8.2.1 Die Einheitsschule führt zu Qualitätsverlust

Ständig sinkende Anforderungen haben dazu geführt, dass
Schüler nicht mehr die Grundkenntnisse besitzen, die in
der Berufsausbildung oder im Studium benötigt werden.
Ebenfalls fehlt es an der erforderlichen Allgemeinbildung,
die zur verantwortungsvollen Wahrnehmung der staats-
bürgerlichen Rechte und Pflichten notwendig ist. Es ist
falsch, Eltern und Jugendlichen einzureden, nur derjenige
Bildungsweg sei erfolgreich, der zu einer Hochschule füh-
re. Ein gegliedertes Schulsystem muss die Begabungen und
Stärken von Schülern erkennen und fördern.

8.2.2 Wissensvermittlung muss
zentrales Anliegen bleiben

Die Bildungsstandards in allen Schulformen müssen sich an
den höchsten in Deutschland ausrichten, um unseren Schul-
abgängern die besten Chancen in Ausbildung und Studium
zu sichern. Die Wissensvermittlung (Kenntnisse, Fähigkeiten,
Fertigkeiten, Lernstrategien) muss zentrales Anliegen der
",105
"106   Schule, Hochschule und Forschung




      Schule bleiben. Wir wollen uns dafür einsetzen, dass an den
      Oberschulen wieder Bildungsinhalte im Mittelpunkt eines
      vom Fachlehrer geleiteten Unterrichts stehen und Kompe-
      tenzen ihnen untergeordnet bleiben. Leistungsanforderungen
      und Notengebung müssen bundesweit vergleichbar sein.
      Zugangsvoraussetzung für das Gymnasium dürfen allein
      landesweit verbindliche Leistungskriterien sein. Das Abitur
      muss wieder eine Hochschulreifeprüfung werden.

      8.2.3 Leistungsbereitschaft und Disziplin stärken

      Leistungsbereitschaft und Disziplin sind Voraussetzung
      für eine erfolgreiche Wissensvermittlung. Die Erziehung
      der Schüler dazu ist in erster Linie Aufgabe der Eltern. Das
      entsprechende Verhalten der Schüler kann nur durch-
      gesetzt werden, wenn den Lehrern die dazu geeigneten
      Maßnahmen zur Verfügung stehen und deren Durchset-
      zung nicht ständig hinterfragt wird. Schulverweigerung,
      Null-Bock-Mentalität, Disziplinlosigkeit, Mobbing und
      Gewalt in der Schule sind nicht zu tolerieren und unter
      Einbeziehung der Erziehungsberechtigten angemessen zu
      ahnden. Die Wahlfreiheit zwischen Halbtags- und Ganz-
      tagsklassen muss erhalten bleiben.

      8.2.4 Politisch-ideologische Indoktrination
      darf es an der Schule nicht geben

      Das Klassenzimmer darf kein Ort der politischen Indok-
      trination sein. An deutschen Schulen wird oft nicht die
      Bildung einer eigenen Meinung gefördert, sondern die
      unkritische Übernahme ideologischer Vorgaben. Ziel der
      schulischen Bildung muss jedoch der eigenverantwortlich
      denkende Bürger sein.
",106
"                  Schule, Hochschule und Forschung          107




Eine einseitige Hervorhebung der Homo- und Transsexu-
alität im Unterricht lehnen wir ebenso entschieden ab wie
die ideologische Beeinflussung durch das „Gender-Main-
streaming“. Das traditionelle Familienbild darf dadurch
nicht zerstört werden. Unsere Kinder dürfen in der Schule
nicht zum Spielball der sexuellen Neigungen einer lauten
Minderheit werden.



8.2.5 Duale berufliche Bildung stärken
und erhalten

Die duale Ausbildung in Unternehmen und staatlichen          Die ideologisch
                                                             motivierte Inklusion
Berufsschulen ist ein Erfolgsmodell. Jedoch gefährden das    „um jeden Preis“
Streben nach immer höheren Abiturienten- und Akade-          lehnen wir ab.
mikerquoten sowie unzureichende Kenntnisse von Haupt-        Die AfD setzt sich
                                                             für den Erhalt der
und Realschulabsolventen den Nachwuchs in den Ausbil-        Förder- und
dungsberufen. Zahlreiche Lehrstellen können aus Mangel       Sonderschulen ein.

an ausreichend qualifizierten Bewerbern nicht besetzt
werden. Berufliche Fach- und Meisterschulen müssen als
tragende Säulen der beruflichen Bildung und des lebens-
langen Lernens erhalten und gestärkt werden.

8.2.6 Keine Inklusion um „jeden Preis”.
Förder- und Sonderschulen erhalten

Die Behindertenrechtskonvention der Vereinten Natio-
nen stellt unsere bewährten Förder- und Sonderschulen
keineswegs in Frage. Die Forderung, behinderten Kindern
Teilhabe am Bildungssystem zu garantieren, ist bereits
umfassend und erfolgreich erfüllt. Die ideologisch mo-
tivierte Inklusion „um jeden Preis“ verursacht erhebli-
che Kosten und hemmt behinderte wie nicht behinderte
",107
"108   Schule, Hochschule und Forschung




      Schüler in ihrem Lernerfolg. Die AfD setzt sich deshalb für
      den Erhalt der Förder- und Sonderschulen ein. Die Eltern
      sollen auch weiterhin das Recht haben, ihre Kinder in die-
      se Einrichtungen zu schicken.

      8.2.7 Koranschulen schließen.
      Islamkunde in den Ethikunterricht integrieren

      Soweit ein bekenntnisorientierter islamischer Religionsun-
      terricht stattfindet, fordern wir eine Islamkunde in deut-
      scher Sprache für alle muslimischen Schüler. Die Lehrer
      sollten von verfassungstreuen Islamwissenschaftlern an
      deutschen Universitäten ausgebildet werden, die nicht von
      islamischen Verbänden beeinflusst sein dürfen. Solan-
      ge der Islam keine echte Reformation durchlaufen hat,
      fordern wir die Schließung von Koranschulen wegen der
      unkontrollierbaren Gefahr einer radikalen verfassungs-
      feindlichen Indoktrination.

      8.2.8 Keine Sonderrechte für muslimische Schüler

      Wir lehnen Sonderrechte für muslimische Schüler ab und
      fordern die Teilnahme am Sportunterricht und an Klassen-
      fahrten ohne Ausnahme. Muslimische Schüler und ihre El-
      tern haben auch weibliche Lehrkräfte als Vertreter unserer
      Werte und unserer staatlichen Ordnung uneingeschränkt
      zu akzeptieren.

      8.3 Nein zu „Gender-Mainstreaming”
      und Frühsexualisierung

      Die Gender-Ideologie und die damit verbundene Frühse-
      xualisierung, staatliche Ausgaben für pseudowissen-
",108
"                  Schule, Hochschule und Forschung           109




schaftliche „Gender-Studies“, Quotenregelungen und eine
Verunstaltung der deutschen Sprache sind zu stoppen.
Gleichberechtigung muss wieder Chancengleichheit bedeu-
ten.

Viele der im Bereich des „Gender-Mainstreamings” ver-
tretenen Ansichten widersprechen den Ergebnissen der
Naturwissenschaft, der Entwicklungspsychologie und der
Lebenserfahrung. Wir wenden uns daher gegen jede staat-
liche Förderung von „Gender-Studies“.

Die Gender-Ideologie marginalisiert naturgegebene Un-
terschiede zwischen den Geschlechtern und wirkt damit
traditionellen Wertvorstellungen und spezifischen Ge-
schlechterrollen in den Familien entgegen. Das klassische
Rollenverständnis von Mann und Frau soll durch staatlich
geförderte Umerziehungsprogramme in Kindergärten und
Schulen systematisch „korrigiert“ werden. Die AfD lehnt
diese Geschlechterpädagogik als Eingriff in die natürliche
Entwicklung unserer Kinder und in das vom Grundgesetz
garantierte Elternrecht auf Erziehung ab.

Ebenso fordert die AfD, keine Frühsexualisierung in
Krippen, Kindergärten und an den Schulen zuzulassen und
die Verunsicherung der Kinder in Bezug auf ihre sexuelle
Identität einzustellen.

8.3.1 Keine „geschlechterneutrale”
Umgestaltung der deutschen Sprache

Die deutsche Sprache wird abstrus umgestaltet, damit sich
die Geschlechteraufhebung auch im alltäglichen Sprachge-
brauch wiederfindet. Die AfD lehnt die behördlich verord-
",109
"              110          Schule, Hochschule und Forschung




                           neten geschlechterneutralen Worterfindungen als Eingriff
                           in die natürlich gewachsene Kultur und Tradition unserer
                           Sprache ab.

                           8.3.2 Geschlechterquoten sind
                           leistungsfeindlich und ungerecht

Die AfD lehnt              Die AfD lehnt Geschlechterquoten im Studium oder in der
Geschlechterquoten
                           Arbeitswelt generell ab, da Quoten leistungsfeindlich und
im Studium oder in der
Arbeitswelt generell ab,   ungerecht sind und andere Benachteiligungen schaffen.
da Quoten leistungs-       Die AfD vertritt die Meinung, dass Quoten kein geeignetes
feindlich und ungerecht
sind und andere
                           Mittel zur Gleichberechtigung von Mann und Frau dar-
Benachteiligungen          stellen. Auch die Einrichtung spezieller Frauenstudien-
schaffen.
                           gänge lehnen wir ab. Die AfD unterstreicht stattdessen die
                           grundrechtlich garantierte Gleichberechtigung von Mann
                           und Frau (im Sinne von Chancengleichheit). Eine Gleich-
                           stellungspolitik im Sinne von Ergebnisgleichheit lehnt die
                           AfD hingegen ab.
",110
"Schule, Hochschule und Forschung   111
",111
,112
"KAPITEL 9




Einwanderung,
Integration
und Asyl
",113
"114   Einwanderung, Integration und Asyl




      EINWANDERUNG,
      INTEGRATION UND ASYL

      Gerade beim politischen Thema Asyl und Einwanderung
      verantwortet ein ideologisch vergiftetes Klima der „politi-
      schen Korrektheit“ Sprachverbote und Sprachregelungen.
      Verstöße führen zu gesellschaftlicher Stigmatisierung,
      teilweise sogar zu beruflichen Nachteilen; diese Art von
      Umgang mit unangepassten Meinungen war in der Ver-
      gangenheit Merkmal totalitärer Staaten, aber nicht von
      freien Demokratien. Fehlentwicklungen im Asyl- und
      Einwanderungsbereich sollen um eines befürchteten
      Umschwungs der öffentlichen Meinung willen nicht zur
      Sprache kommen; gleichzeitig soll vom völligen Versagen
      der Asyl- und Einwanderungspolitik der vergangenen
      Jahre durch die herrschenden Parteien abgelenkt werden.
      Eine offene Diskussion wird damit verhindert.

      Das alles führt zu ungerechten Pauschalverdächtigungen
      gegenüber der Mehrzahl der rechtstreuen, integrierten
      ausländischen Mitbürger als auch der rechtstreuen Asyl-
      bewerber. Die AfD fordert daher das selbstverständliche
      Recht auf freie Rede für freie Bürger wieder ein. Niemand
      darf Angst haben, seine Meinung zur Einwanderungs- und
      Asylpolitik zu sagen. Dem Grundrecht auf freie Meinungs-
      äußerung muss auch auf diesem Politikfeld wieder zur
      uneingeschränkten Geltung verholfen werden.
",114
"                Einwanderung, Integration und Asyl           115




Deutschland ist aufgrund seiner geografischen Lage, seiner
Geschichte, Bevölkerung und dichten Besiedelung kein
klassisches Einwanderungsland, erst recht nicht als Ziel
einer Masseneinwanderung, wie wir sie im Jahre 2015
erlebt haben.

Dennoch wandern seit Jahrzehnten Menschen nach
Deutschland ein. Damit ist es de facto ein Einwande-
rungsland, ohne dass es dafür einen dementsprechenden
Rechtsrahmen gäbe. Kanada und Australien sind uns Vor-
bilder darin, wie Einwanderungsländer eine gesellschafts-,
sozial- und arbeitsmarktverträgliche Einwanderung regeln.
Der deutsche „Sonderweg“ hingegen führt bisher fast
ausschließlich zu einer Einwanderung in die Sozialsysteme
und den Niedriglohnsektor, anstatt in den qualifizierten
Arbeitsmarkt.

Das will die AfD ändern: wir fordern einen Paradigmen-
wechsel in der 1) Asylzuwanderung, 2) in der Handhabung
der EU-Personenfreizügigkeit, 3) in der qualifizierten
Zuwanderung aus Drittstaaten sowie 4) bei der Integration
von Einwanderern dieser drei Kategorien.
",115
"116   Einwanderung, Integration und Asyl




      9.1 Keine irreguläre Einwanderung
      über das Asylrecht



      9.1.1 Asylzuwanderung -
      für einen Paradigmenwechsel

      Eine Völkerwanderung historischen Ausmaßes fordert
      Europa heraus. Im Hinblick auf Bevölkerungsexplosion,
      kriegerische und religiöse Konflikte und Klimaextreme
      in vielen Ländern, insbesondere des afrikanischen Kon-
      tinents und des Nahen und Mittleren Ostens, stehen wir
      erst am Anfang weltweiter, bislang unvorstellbarer Wande-
      rungsbewegungen in Richtung der wohlhabenden europäi-
      schen Staaten.

      Die aktuelle deutsche und europäische Asyl- und Flücht-
      lingspolitik kann deshalb so nicht weitergeführt werden.
      Die unzutreffende Bezeichnung „Flüchtling“ für fast alle
      Menschen, die irregulär nach Deutschland einreisen, um
      hier dauerhaft zu bleiben, ist Ausdruck dieser verfehlten
      Politik. Es ist demgegenüber notwendig, zwischen poli-
      tisch Verfolgten und (Kriegs-) Flüchtlingen, die unmittel-
      bar vor ihrer Einreise echten, kriegsbedingten Gefahren
      ausgesetzt waren, einerseits und irregulären Migranten
      andererseits zu unterscheiden. Echte Flüchtlinge will auch
      die AfD schützen, solange die Fluchtursache im Heimat-
      land andauert. Irreguläre Migranten aber, die, anders
      als Flüchtlinge, nicht verfolgt werden, können keinen
      Flüchtlingsschutz beanspruchen. Entfällt der Fluchtgrund
      durch Beendigung von Krieg, politischer oder religiöser
      Verfolgung im Herkunftsland der Flüchtlinge, endet deren
      Aufenthaltserlaubnis. Die betroffenen Flüchtlinge müssen
",116
"                Einwanderung, Integration und Asyl            117




Deutschland wieder verlassen. Dazu soll Deutschland im
Verbund mit den europäischen Partnerländern Rückkehr-
hilfen gewähren. Es dient dem inneren und äußeren Frie-
den, wenn die in ihre Herkunftsländer zurückkehrenden
Flüchtlinge ihren Beitrag zum politischen, wirtschaftlichen
und sozialen Wiederaufbau ihres Heimatlandes leisten.
Ihre Rückkehr sollte durch ein internationales Wiederauf-
bauprogramm unterstützt werden.

Die überkommene Politik der großzügigen Asylgewährung          Es ist notwendig,
im Wissen um massenhaften Missbrauch führt nicht nur           zwischen politisch
                                                               Verfolgten und Kriegs-
zu einer rasanten, unaufhaltsamen Besiedelung Europas,         flüchtlingen einerseits
insbesondere Deutschlands, durch Menschen aus anderen          und irregulären
                                                               Migranten andererseits
Kulturen und Weltteilen. Sie ist auch für den Tod vieler
                                                               zu unterscheiden.
Menschen auf dem Mittelmeer verantwortlich. Die AfD
will diese zynisch hingenommene Folge eines irregeleiteten
Humanitarismus vermeiden und die daraus entstehende
Gefahr sozialer und religiöser Unruhen sowie eines schlei-
chenden Erlöschens der europäischen Kulturen abwenden.

Die gesamteuropäische Asylpolitik ist wegen des Bruchs
des Dublin-Abkommens durch südliche EU-Länder,
zuletzt aber auch durch das Verschulden der deutschen
Bundesregierung gescheitert. Die AfD setzt sich daher für
eine vollständige Schließung der EU-Außengrenzen ein
und fordert den aus politischen und anderen Gründen
flüchtenden Menschen folgende Option anzubieten:

In der Herkunftsregion von Flüchtlingsbewegungen,
wie z.B. Nordafrika, werden Schutz- und Asylzentren in
sicheren Staaten eingerichtet. Vorrangiges Ziel ist, solche
Aufnahmeeinrichtungen unter UN- oder EU-Mandat zu
betreiben. Anträge auf Schutz sollen danach nur noch dort
",117
"118   Einwanderung, Integration und Asyl




      gestellt und entschieden werden. Antragsteller in Deutsch-
      land und Europa sind ausnahmslos zur Rückkehr in diese
      Zentren zu verpflichten.

      Sollten sich solche Aufnahmeeinrichtungen nicht inner-
      halb überschaubarer Zeit international organisieren lassen,
      dann wird Deutschland eigenständig in sicheren Staaten
      geschützte Aufnahmeeinrichtungen nach ortsüblichem
      Standard und ortsüblicher Grundversorgung einrichten.

      Dazu müssen Staaten gefunden werden, die vertraglich
      den Betrieb einer Aufnahmeeinrichtung auf dem Bot-
      schaftsgelände oder einer sonstigen Liegenschaft ermög-
      lichen, wie es dem „australischen Modell“ entspricht. In
      diesen regionalen Aufnahmeeinrichtungen werden Au-
      ßenstellen des BAMF sowie der Verwaltungsgerichtsbar-
      keit angesiedelt, die für die Durchführung des Asyl- und
      Rechtsmittelverfahrens für Asylsuchende aus der Region
      die Alleinzuständigkeit erhalten.

      Schutzsuchende aus diesen Regionen, die in Deutsch-
      land eintreffen und hier ihre Anträge stellen, werden
      ausnahmslos zur Durchführung des Asylverfahrens zur
      zuständigen Aufnahmeeinrichtung in der Herkunftsregion
      begleitet.

      Nach Anerkennung eines Schutzgrundes wird ihnen die
      sichere Reise nach Deutschland ermöglicht.

      An allen deutschen Grenzübergängen, an denen eine un-
      geregelte Einwanderung stattfindet, sind strenge Perso-
      nenkontrollen einzuführen, um illegale Grenzübertritte zu
      verhindern. Solange es weltweite Wanderungsbewegungen
",118
